Date,Average Temperature,Minimum Temperature,Maximum Temperature,Day,Month,Year
12/25/2014,28.8,24,33,25,12,2014
12/26/2014,28.9,25,34,26,12,2014
12/27/2014,28.6,23,32,27,12,2014
12/28/2014,28,24,33,28,12,2014
12/29/2014,26.5,25,34,29,12,2014
12/30/2014,25.1,20,29,30,12,2014
12/31/2014,25.9,22,30,31,12,2014
1/1/2015,25.9,23,31,1,1,2015
1/2/2015,25.6,20,30,2,1,2015
1/3/2015,27.1,23,32,3,1,2015
1/4/2015,27.3,24,32,4,1,2015
1/5/2015,26.5,25,31,5,1,2015
1/6/2015,27,23,32,6,1,2015
1/7/2015,27.4,24,32,7,1,2015
1/8/2015,27.7,24,33,8,1,2015
1/9/2015,27.2,25,31,9,1,2015
1/10/2015,27.6,20,31,10,1,2015
1/11/2015,26.6,24,30,11,1,2015
1/12/2015,26.5,23,31,12,1,2015
1/13/2015,26.6,23,32,13,1,2015
1/14/2015,25.4,21,31,14,1,2015
1/15/2015,24.9,20,31,15,1,2015
1/16/2015,25.3,20,31,16,1,2015
1/17/2015,26.2,21,32,17,1,2015
1/18/2015,25.3,21,30,18,1,2015
1/19/2015,25.2,20,29,19,1,2015
1/20/2015,25.2,21,30,20,1,2015
1/21/2015,25.7,20,32,21,1,2015
1/22/2015,25.6,22,31,22,1,2015
1/23/2015,25.2,20,31,23,1,2015
1/24/2015,25.1,21,31,24,1,2015
1/25/2015,25.1,20,31,25,1,2015
1/26/2015,26.1,20,32,26,1,2015
1/27/2015,26.3,22,32,27,1,2015
1/28/2015,25.9,21,32,28,1,2015
1/29/2015,26,21,33,29,1,2015
1/30/2015,25.7,22,33,30,1,2015
1/31/2015,25.7,21,32,31,1,2015
2/1/2015,26.3,21,33,1,2,2015
2/2/2015,27.2,22,33,2,2,2015
2/3/2015,26.8,23,33,3,2,2015
2/4/2015,26.4,22,33,4,2,2015
2/5/2015,26.2,23,33,5,2,2015
2/6/2015,25.5,20,32,6,2,2015
2/7/2015,25.3,21,31,7,2,2015
2/8/2015,25.7,20,32,8,2,2015
2/9/2015,25.4,19,32,9,2,2015
2/10/2015,24.9,20,31,10,2,2015
2/11/2015,25.5,20,32,11,2,2015
2/12/2015,25.6,21,32,12,2,2015
2/13/2015,25.8,20,32,13,2,2015
2/14/2015,25.8,22,31,14,2,2015
2/15/2015,25.8,22,32,15,2,2015
2/16/2015,26.5,23,33,16,2,2015
2/17/2015,27.1,20,31,17,2,2015
2/18/2015,27.9,22,35,18,2,2015
2/19/2015,27.8,25,32,19,2,2015
2/20/2015,28.1,24,34,20,2,2015
2/21/2015,27.4,25,33,21,2,2015
2/22/2015,27.8,24,33,22,2,2015
2/23/2015,27.8,25,32,23,2,2015
2/24/2015,27.7,25,32,24,2,2015
2/25/2015,26.6,25,30,25,2,2015
2/26/2015,27.7,24,34,26,2,2015
2/27/2015,29.3,25,35,27,2,2015
2/28/2015,29,26,34,28,2,2015
3/1/2015,29.2,26,36,1,3,2015
3/2/2015,28.1,24,34,2,3,2015
3/3/2015,28.2,25,30,3,3,2015
3/4/2015,28.4,26,33,4,3,2015
3/5/2015,28.4,26,33,5,3,2015
3/6/2015,28.9,25,34,6,3,2015
3/7/2015,28.6,25,35,7,3,2015
3/8/2015,29.1,26,34,8,3,2015
3/9/2015,28.9,25,35,9,3,2015
3/10/2015,28.9,25,35,10,3,2015
3/11/2015,28.8,24,36,11,3,2015
3/12/2015,28.8,24,34,12,3,2015
3/13/2015,29.4,26,35,13,3,2015
3/14/2015,29,26,34,14,3,2015
3/15/2015,28.5,26,33,15,3,2015
3/16/2015,28.1,25,33,16,3,2015
3/17/2015,27.8,25,33,17,3,2015
3/18/2015,27.8,25,32,18,3,2015
3/19/2015,28.7,25,35,19,3,2015
3/20/2015,28.2,26,32,20,3,2015
3/21/2015,28.7,25,34,21,3,2015
3/22/2015,28.9,25,34,22,3,2015
3/23/2015,29.2,26,34,23,3,2015
3/24/2015,29.7,26,35,24,3,2015
3/25/2015,30.4,25,37,25,3,2015
3/26/2015,30.5,25,36,26,3,2015
3/27/2015,30.6,26,37,27,3,2015
3/28/2015,30.6,25,37,28,3,2015
3/29/2015,30.1,26,36,29,3,2015
3/30/2015,29.3,26,36,30,3,2015
3/31/2015,29.4,26,34,31,3,2015
4/1/2015,29.4,26,34,1,4,2015
4/2/2015,29.7,25,36,2,4,2015
4/3/2015,30,27,35,3,4,2015
4/4/2015,29.7,27,35,4,4,2015
4/5/2015,29.3,27,32,5,4,2015
4/6/2015,29.6,27,34,6,4,2015
4/7/2015,30.2,27,36,7,4,2015
4/8/2015,30.6,27,32,8,4,2015
4/9/2015,30.6,27,36,9,4,2015
4/10/2015,30.4,27,36,10,4,2015
4/11/2015,30.4,28,35,11,4,2015
4/12/2015,28.4,25,34,12,4,2015
4/13/2015,27.5,24,33,13,4,2015
4/14/2015,29.3,25,35,14,4,2015
4/15/2015,29.7,27,36,15,4,2015
4/16/2015,29.4,26,34,16,4,2015
4/17/2015,29.6,26,34,17,4,2015
4/18/2015,29.9,26,35,18,4,2015
4/19/2015,30.4,27,36,19,4,2015
4/20/2015,30.6,27,36,20,4,2015
4/21/2015,31.1,28,37,21,4,2015
4/22/2015,30.4,28,35,22,4,2015
4/23/2015,28.6,26,36,23,4,2015
4/24/2015,30.2,28,35,24,4,2015
4/25/2015,30.3,26,36,25,4,2015
4/26/2015,30.7,26,38,26,4,2015
4/27/2015,30.4,27,36,27,4,2015
4/28/2015,29.2,25,35,28,4,2015
4/29/2015,29.9,27,34,29,4,2015
4/30/2015,30.4,27,35,30,4,2015
5/1/2015,30.8,28,35,1,5,2015
5/2/2015,30.8,28,35,2,5,2015
5/3/2015,30.4,25,35,3,5,2015
5/4/2015,31.1,27,34,4,5,2015
5/5/2015,30.9,28,35,5,5,2015
5/6/2015,30.8,28,36,6,5,2015
5/7/2015,30.7,28,34,7,5,2015
5/8/2015,30.4,28,34,8,5,2015
5/9/2015,29.6,24,35,9,5,2015
5/10/2015,31.5,27,36,10,5,2015
5/11/2015,31.3,28,35,11,5,2015
5/12/2015,28.6,26,33,12,5,2015
5/13/2015,30.3,26,35,13,5,2015
5/14/2015,30.9,26,35,14,5,2015
5/15/2015,30.4,27,36,15,5,2015
5/16/2015,30.8,27,36,16,5,2015
5/17/2015,29.8,26,36,17,5,2015
5/18/2015,31.3,27,36,18,5,2015
5/19/2015,31.8,28,37,19,5,2015
